State/UT,District,Disease/Illness,No. of Cases,No. of Deaths,Date of Start of Outbreak,Date of Reporting
Madhya Pradesh,East Nimar,Chikungunya,21,0,25-09-2024,25-09-2024
Madhya Pradesh,Jhabua,Dengue,12,0,23-09-2024,23-09-2024
Madhya Pradesh,Rewa,Acute Diarrheal Disease,36,0,29-09-2024,29-09-2024
Maharashtra,Beed,Hepatitis A,10,0,21-09-2024,23-09-2024
Maharashtra,Bhandara,Food Poisoning,42,0,26-09-2024,26-09-2024
Maharashtra,Kolhapur,Hepatitis A,12,0,27-09-2024,27-09-2024
Maharashtra,Nanded,Acute Diarrheal Disease,26,0,28-09-2024,28-09-2024
Maharashtra,Washim,Chikungunya,9,0,26-09-2024,27-09-2024
Odisha,Balangir,Acute Diarrheal Disease,81,0,22-09-2024,24-09-2024
Odisha,Sonepur,Acute Diarrheal Disease,30,0,26-09-2024,27-09-2024
Punjab,Fazilka,Mumps,24,0,26-09-2024,27-09-2024
Tamil Nadu,Cuddalore,Dengue,12,0,27-09-2024,29-09-2024
Tamil Nadu,Mayiladuthurai,Mumps,6,0,25-09-2024,26-09-2024
Tamil Nadu,Mayiladuthurai,Mumps,11,0,21-09-2024,23-09-2024
Tamil Nadu,Tiruchirappalli,Mumps,14,0,25-09-2024,26-09-2024
Tamil Nadu,Tirunelveli,Hepatitis A,24,0,23-09-2024,25-09-2024
Uttar Pradesh,Kushi Nagar,Fever,27,0,23-09-2024,27-09-2024
Uttar Pradesh,Lalitpur,Acute Diarrheal Disease,85,1,25-09-2024,26-09-2024
Uttar Pradesh,Sonbhadra,Food Poisoning,16,1,25-09-2024,27-09-2024
Andhra Pradesh,Sri Sathya Sai,Cholera,35,0,18-08-2024,
Jharkhand,Dumka,Acute Diarrheal Disease,45,0,13-09-2024,
Maharashtra,Thane,Cholera,7,1,10-09-2024,
Maharashtra,Thane,Cholera,18,0,18-09-2024,
West Bengal,Birbhum,Acute Diarrheal Disease,32,0,19-09-2024,
AR/EKM/2024/03/052,Arunachal Pradesh,East Kameng,Human Rabies,1,1,13-01-2024,19-01-2024,Under Control
GJ/ARL/2024/03/053,Gujarat,Amreli,Acute Diarrheal Disease,68,0,18-01-2024,18-01-2024,Under Control
GJ/MRB/2024/03/054,Gujarat,Morbi,Hepatitis A,22,0,16-01-2024,17-01-2024,Under Surveillance
JH/SIM/2024/03/055,Jharkhand,Simdega,Chickenpox,23,0,17-01-2024,17-01-2024,Under Surveillance
KN/CHI/2024/03/056,Karnataka,Chitradurga,Acute Diarrheal Disease,5,0,14-01-2024,17-01-2024,Under Control
KN/SHI/2024/03/057,Karnataka,Shivamogga,Kyasanur Forest Disease,297,0,18-01-2024,20-01-2024,Under Surveillance
KN/SHI/2024/03/058,Karnataka,Shivamogga,Kyasanur Forest Disease,53,0,18-01-2024,20-01-2024,Under Surveillance
KN/KRW/2024/03/059,Karnataka,Uttar Kannad,Kyasanur Forest Disease,310,0,18-01-2024,19-01-2024,Under Surveillance
KL/KAS/2024/03/060,Kerala,Kasaragod,Food Poisoning,141,0,18-01-2024,18-01-2024,Under Control
KL/KTM/2024/03/0561,Kerala,Kottayam,Dengue,39,0,12-01-2024,19-01-2024,Under Surveillance
KL/KTM/2024/03/0562,Kerala,Kottayam,Hepatitis A,6,0,12-01-2024,16-01-2024,Under Surveillance
MP/BPL/2024/03/0563,Madhya Pradesh,Bhopal,Mumps,18,0,12-01-2024,17-01-2024,Under Surveillance
MP/BUH/2024/03/0564,Madhya Pradesh,Burhanpur,Mumps,33,0,18-01-2024,19-01-2024,Under Surveillance
MP/GWL/2024/03/0565,Madhya Pradesh,Gwalior,Mumps,31,0,20-01-2024,20-01-2024,Under Surveillance
MP/SHR/2024/03/0566,Madhya Pradesh,Sheopur,Fever with Rash,23,0,20-01-2024,20-01-2024,Under Surveillance
MP/SVP/2024/03/0567,Madhya Pradesh,Shivpuri,Measles,18,2,13-01-2024,15-01-2024,Under Surveillance
MH/THN/2024/03/0568,Maharashtra,Thane,Dengue,5,1,12-01-2024,16-01-2024,Under Surveillance
OR/BAG/2024/03/0569,Odisha,Balangir,Acute Diarrheal Disease,39,0,16-01-2024,16-01-2024,Under Control
OR/BAR/2024/03/070,Odisha,Boudh,Acute Diarrheal Disease,42,0,19-01-2024,20-01-2024,Under Control
OR/CUT/2024/03/071,Odisha,Cuttack,Acute Diarrheal Disease,7,0,14-01-2024,15-01-2024,Under Control
OR/GJM/2024/03/072,Odisha,Ganjam,Fever with Rash,18,0,16-01-2024,18-01-2024,Under Control
OR/KPT/2024/03/073,Odisha,Koraput,Acute Diarrheal Disease,30,0,20-01-2024,20-01-2024,Under Surveillance
OR/PRI/2024/03/074,Odisha,Puri,Acute Diarrheal Disease,16,0,16-01-2024,16-01-2024,Under Control
PN/PRI/2024/03/075,Puducherry,Pondicherry,Chikungunya,18,0,19-01-2024,19-01-2024,Under Surveillance
TN/PER/2024/03/076,Tamil Nadu,Perambalur,Mumps,9,0,19-01-2024,19-01-2024,Under Control
UP/CKH/2024/03/077,Uttar Pradesh,Chandauli,Measles,43,0,01-01-2024,19-01-2024,Under Control
KL/WYN/2024/03/078,Kerala,Wayanad,Acute Diarrheal Disease,18,0,09-01-2024,,Under Surveillance
MP/GUN/2024/03/079,Madhya Pradesh,Guna,Measles,12,0,10-01-2024,,Under Control
MP/GUN/2024/03/080,Madhya Pradesh,Guna,Measles,12,0,08-01-2024,,Under Control
MH/BNR/2024/03/081,Maharashtra,Bhandara,Acute Diarrheal Disease,29,0,09-01-2024,,Under Surveillance
MH/THN/2024/03/082,Maharashtra,Thane,Dengue,13,0,29-12-2023,,Under Surveillance
Andhra Pradesh,Nandyal,Food Poisoning,13,0,04-10-2024,04-10-2024
Andhra Pradesh,Y. S. Rajasekhara Reddy,Acute Diarrheal Disease,32,0,03-10-2024,03-10-2024
Assam,Charaideo,Acute Diarrheal Disease,11,1,04-10-2024,05-10-2024
Assam,Jorhat,Acute Diarrheal Disease,175,1,04-10-2024,04-10-2024
Assam,Lakhimpur,Acute Diarrheal Disease,21,0,05-10-2024,05-10-2024
Assam,Lakhimpur,Dengue,27,0,01-10-2024,01-10-2024
Bihar,Pashchim Champaran,Food Poisoning,30,0,28-09-2024,30-09-2024
Chhattisgarh,Balod,Acute Diarrheal Disease,82,0,29-09-2024,30-09-2024
Chhattisgarh,Baloda Bazar,Acute Gastroenteritis,33,0,30-09-2024,01-10-2024
Chhattisgarh,Bijapur,Dengue,17,0,03-10-2024,03-10-2024
Chhattisgarh,Bijapur,Chikungunya,4,0,01-10-2024,01-10-2024
Chhattisgarh,Kanker,Acute Diarrheal Disease,25,0,01-10-2024,05-10-2024
Chhattisgarh,Mahasamund,Acute Diarrheal Disease,15,0,03-10-2024,03-10-2024
Chhattisgarh,Mahasamund,Acute Diarrheal Disease,16,0,02-10-2024,03-10-2024
Chhattisgarh,Mungeli,Acute Diarrheal Disease,20,0,02-10-2024,03-10-2024
Chhattisgarh,Rajnandgaon,Acute Diarrheal Disease,16,0,02-10-2024,04-10-2024
Chhattisgarh,Rajnandgaon,Acute Diarrheal Disease,12,0,01-10-2024,04-10-2024
Goa,North Goa,Acute Diarrheal Disease,6,1,04-10-2024,04-10-2024
Gujarat,Amreli,Food Poisoning,47,0,01-10-2024,01-10-2024
Gujarat,Devbhumi Dwarka,Food Poisoning,12,0,02-10-2024,03-10-2024
Gujarat,Kachchh,Acute Diarrheal Disease,10,0,04-10-2024,05-10-2024
Haryana,Karnal,Acute Diarrheal Disease,43,0,30-09-2024,30-09-2024
Jammu and Kashmir,Anantnag,Hepatitis A,8,0,28-09-2024,01-10-2024
Jammu and Kashmir,Shopian,Hepatitis A,10,0,30-09-2024,30-09-2024
Jammu and Kashmir,Shopian,Hepatitis A,8,0,30-09-2024,30-09-2024
Jharkhand,Godda,Acute Diarrheal Disease,12,0,04-10-2024,04-10-2024
Karnataka,Bengaluru Rural,Food Poisoning,17,0,03-10-2024,03-10-2024
Karnataka,Kalaburagi,Acute Diarrheal Disease,89,0,30-09-2024,30-09-2024
Karnataka,Udupi,Dysentery,35,0,30-09-2024,03-10-2024
Kerala,Ernakulam,Hepatitis A,4,0,30-09-2024,03-10-2024
Kerala,Thiruvananthapuram,Mumps,16,0,03-10-2024,04-10-2024
Kerala,Thrissur,Mumps,18,0,27-09-2024,03-10-2024
Madhya Pradesh,Chhindwara,Acute Diarrheal Disease,66,0,03-10-2024,03-10-2024
Madhya Pradesh,East Nimar,Chikungunya,129,0,04-10-2024,04-10-2024
Madhya Pradesh,Panna,Acute Diarrheal Disease,7,0,03-10-2024,04-10-2024
Madhya Pradesh,Ratlam,Food Poisoning,5,2,03-10-2024,04-10-2024
Maharashtra,Amravati,Food Poisoning,10,0,04-10-2024,04-10-2024
Maharashtra,Gondia,Cholera,17,0,03-10-2024,03-10-2024
Maharashtra,Latur,Food Poisoning,55,0,05-10-2024,06-10-2024
Maharashtra,Raigad,Chikungunya,19,0,30-09-2024,30-09-2024
Maharashtra,Sangli,Food Poisoning,246,0,05-10-2024,05-10-2024
Maharashtra,Thane,Acute Diarrheal Disease,47,0,02-10-2024,04-10-2024
Odisha,Cuttack,Acute Diarrheal Disease,23,0,30-09-2024,30-09-2024
Odisha,Kandhamal,Acute Diarrheal Disease,6,2,30-09-2024,03-10-2024
Odisha,Nabarangpur,Food Poisoning,35,0,05-10-2024,06-10-2024
Odisha,Sonepur,Acute Diarrheal Disease,22,0,30-09-2024,30-09-2024
Punjab,Sangrur,Acute Diarrheal Disease,20,0,05-10-2024,05-10-2024
Tamil Nadu,Erode,Leptospirosis,4,1,30-09-2024,01-10-2024
Tamil Nadu,Mayiladuthurai,Acute Diarrheal Disease,36,0,04-10-2024,05-10-2024
Tamil Nadu,Pudukkottai,Acute Diarrheal Disease,17,0,30-09-2024,01-10-2024
West Bengal,Purba Bardhaman,Acute Diarrheal Disease,21,0,01-10-2024,02-10-2024
West Bengal,Purulia,Acute Diarrheal Disease,43,0,30-09-2024,03-10-2024
Assam,Sonitpur,Acute Diarrheal Disease,13,0,30-08-2024,
Chhattisgarh,Kanker,Acute Diarrheal Disease,7,0,26-09-2024,
Jharkhand,Saraikela Kharsawan,Acute Diarrheal Disease,17,0,23-09-2024,
Jharkhand,Simdega,Mumps,20,0,12-09-2024,
Meghalaya,West Jaintia Hills,Mumps,23,0,09-09-2024,
Odisha,Malkangiri,Diphtheria,17,1,12-09-2024,
Andaman & Nicobar Islands,South Andamans,Fever with Rash,8,0,07-10-2024,07-10-2024
Andhra Pradesh,Vizianagaram,Acute Diarrheal Disease,11,0,03-10-2024,10-10-2024
Assam,Jorhat,Acute Diarrheal Disease,14,0,08-10-2024,11-10-2024
Gujarat,Surendranagar,Food Poisoning,42,0,10-10-2024,11-10-2024
Haryana,Kurukshetra,Acute Diarrheal Disease,30,0,08-10-2024,08-10-2024
Jammu and Kashmir,Bandipora,Jaundice,17,0,11-10-2024,11-10-2024
Jammu and Kashmir,Pulwama,Hepatitis A,18,0,04-10-2024,07-10-2024
Jammu and Kashmir,Shopian,Hepatitis A,12,0,10-10-2024,10-10-2024
Jharkhand,East Singhbum,Acute Diarrheal Disease,16,0,09-10-2024,10-10-2024
Jharkhand,Latehar,Food Poisoning,67,0,07-10-2024,07-10-2024
Karnataka,Raichur,Food Poisoning,17,0,09-10-2024,10-10-2024
Kerala,Idukki,Food Poisoning,16,0,07-10-2024,08-10-2024
Kerala,Thiruvananthapuram,Food Poisoning,101,0,13-10-2024,13-10-2024
Kerala,Thiruvananthapuram,Food Poisoning,70,0,06-10-2024,07-10-2024
Kerala,Thrissur,Food Poisoning,172,0,10-10-2024,11-10-2024
Madhya Pradesh,Chhatarpur,Mumps,15,0,10-10-2024,10-10-2024
Madhya Pradesh,Indore,Dengue,101,0,07-10-2024,11-10-2024
Madhya Pradesh,Khargone,Acute Diarrheal Disease,27,0,11-10-2024,11-10-2024
Madhya Pradesh,Sheopur,Acute Diarrheal Disease,19,0,12-10-2024,13-10-2024
Maharashtra,Buldhana,Acute Diarrheal Disease,170,0,06-10-2024,07-10-2024
Maharashtra,Nagpur,Acute Diarrheal Disease,136,0,11-10-2024,11-10-2024
Maharashtra,Parbhani,Acute Diarrheal Disease,30,0,05-10-2024,07-10-2024
Maharashtra,Pune,Acute Diarrheal Disease,28,0,10-10-2024,11-10-2024
Meghalaya,Eastern West Khasi Hills,Measles,35,0,10-09-2024,10-10-2024
Odisha,Bhadrak,Hepatitis A,3,0,07-10-2024,07-10-2024
Odisha,Khordha,Hepatitis A,6,0,08-10-2024,09-10-2024
Odisha,Puri,Food Poisoning,20,0,12-10-2024,13-10-2024
Rajasthan,Jodhpur,CCHF,1,1,09-10-2024,11-10-2024
Tamil Nadu,Madurai,Leptospirosis,21,0,07-10-2024,07-10-2024
Uttar Pradesh,Bijnor,Food Poisoning,112,0,04-10-2024,10-10-2024
Uttar Pradesh,Fatehpur,Acute Diarrheal Disease,36,0,06-10-2024,07-10-2024
Uttar Pradesh,Jalaun,Food Poisoning,31,0,08-10-2024,10-10-2024
Uttar Pradesh,Lucknow,Acute Diarrheal Disease,15,0,06-10-2024,07-10-2024
West Bengal,Purulia,Cholera,14,0,08-10-2024,08-10-2024
Karnataka,Chikballapur,Chikungunya,45,0,26-09-2024,
Kerala,Kannur,Hepatitis A,24,0,28-09-2024,
Odisha,Kendujhar,Food Poisoning,123,0,16-07-2024,
Assam,Barpeta,Diphtheria,1,1,17-10-2024,19-10-2024
Assam,Charaideo,Japanese Encephalitis,1,1,20-10-2024,20-10-2024
Assam,Golaghat,Food Poisoning,164,0,20-10-2024,20-10-2024
Assam,Jorhat,Acute Gastroenteritis,30,1,16-10-2024,16-10-2024
Assam,Marigaon,Food Poisoning,10,0,11-10-2024,15-10-2024
Bihar,Bhojpur,Acute Diarrheal Disease,11,0,15-10-2024,15-10-2024
Bihar,Gaya,Acute Diarrheal Disease,22,1,14-10-2024,14-10-2024
Chhattisgarh,Bemetara,Acute Diarrheal Disease,113,0,16-10-2024,16-10-2024
Chhattisgarh,Kanker,Mumps,12,0,16-10-2024,17-10-2024
Chhattisgarh,Sukma,Acute Diarrheal Disease,82,7,16-10-2024,17-10-2024
Gujarat,Bhavnagar,Food Poisoning,25,0,16-10-2024,18-10-2024
Gujarat,Surat,Acute Diarrheal Disease,44,0,16-10-2024,17-10-2024
Gujarat,Surendranagar,Food Poisoning,204,0,17-10-2024,18-10-2024
Gujarat,Surendranagar,Food Poisoning,57,0,14-10-2024,15-10-2024
Gujarat,Valsad,Food Poisoning,4,1,18-10-2024,19-10-2024
Gujarat,Valsad,Acute Diarrheal Disease,6,0,14-10-2024,15-10-2024
Jammu and Kashmir,Baramulla,Chickenpox,17,0,16-10-2024,18-10-2024
Jammu and Kashmir,Kulgam,Hepatitis A,18,0,19-10-2024,19-10-2024
Jharkhand,Deoghar,Scrub Typhus,5,0,16-10-2024,17-10-2024
Jharkhand,Garhwa,Acute Diarrheal Disease,21,2,14-10-2024,14-10-2024
Jharkhand,Godda,Acute Diarrheal Disease,7,0,19-10-2024,19-10-2024
Jharkhand,Saraikela Kharsawan,Acute Diarrheal Disease,10,0,14-10-2024,14-10-2024
Jharkhand,West Singhbhum,Acute Diarrheal Disease,17,0,19-10-2024,19-10-2024
Karnataka,Raichur,Acute Diarrheal Disease,21,0,19-10-2024,20-10-2024
Kerala,Alappuzha,Hepatitis A,16,0,16-10-2024,17-10-2024
Kerala,Alappuzha,Acute Diarrheal Disease,66,0,15-10-2024,17-10-2024
Kerala,Ernakulam,Hepatitis A,5,0,17-10-2024,18-10-2024
Kerala,Ernakulam,Dengue,12,0,14-10-2024,17-10-2024
Kerala,Ernakulam,Hepatitis A,31,0,14-10-2024,17-10-2024
Kerala,Ernakulam,Acute Diarrheal Disease,32,0,16-10-2024,17-10-2024
Kerala,Idukki,Mumps,20,0,16-10-2024,18-10-2024
Kerala,Kozhikode,Hepatitis A,47,0,18-10-2024,18-10-2024
Kerala,Kozhikode,Hepatitis A,26,0,14-10-2024,15-10-2024
Kerala,Malappuram,Hepatitis A,40,0,14-10-2024,16-10-2024
Kerala,Malappuram,Hepatitis A,31,0,14-10-2024,14-10-2024
Kerala,Palakkad,Hepatitis A,208,0,16-10-2024,16-10-2024
Kerala,Palakkad,Chickenpox,5,0,15-10-2024,16-10-2024
Kerala,Wayanad,Acute Gastroenteritis,21,0,14-10-2024,18-10-2024
Madhya Pradesh,Alirajpur,Food Poisoning,7,0,14-10-2024,15-10-2024
Madhya Pradesh,Ashoknagar,Dengue,70,0,15-10-2024,15-10-2024
Madhya Pradesh,Bhind,Food Poisoning,30,0,15-10-2024,15-10-2024
Madhya Pradesh,Burhanpur,Dengue,30,0,15-10-2024,15-10-2024
Madhya Pradesh,Dindori,Acute Diarrheal Disease,13,0,15-10-2024,15-10-2024
Madhya Pradesh,East Nimar,Chikungunya,52,0,16-10-2024,16-10-2024
Madhya Pradesh,Jhabua,Mumps,6,0,16-10-2024,17-10-2024
Madhya Pradesh,Khargone,Acute Diarrheal Disease,81,0,15-10-2024,15-10-2024
Madhya Pradesh,Khargone,Acute Diarrheal Disease,34,0,14-10-2024,15-10-2024
Madhya Pradesh,Morena,Dengue,34,0,16-10-2024,17-10-2024
Madhya Pradesh,Rajgarh,Dengue,10,1,20-10-2024,20-10-2024
Madhya Pradesh,Rajgarh,Dengue,5,0,18-10-2024,18-10-2024
Madhya Pradesh,Rajgarh,Chikungunya,6,0,18-10-2024,18-10-2024
Madhya Pradesh,Shivpuri,Dengue,90,0,16-10-2024,18-10-2024
Madhya Pradesh,Shivpuri,Malaria,10,0,14-10-2024,15-10-2024
Maharashtra,Ahmednagar,Cholera,8,0,14-10-2024,14-10-2024
Maharashtra,Dhule,Acute Diarrheal Disease,30,1,17-10-2024,17-10-2024
Maharashtra,Kolhapur,Food Poisoning,88,0,14-10-2024,14-10-2024
Maharashtra,Nanded,Chikungunya,7,0,16-10-2024,17-10-2024
Maharashtra,Nashik,Acute Diarrheal Disease,10,0,14-10-2024,15-10-2024
Maharashtra,Parbhani,Chikungunya,6,0,17-10-2024,17-10-2024
Maharashtra,Thane,Acute Gastroenteritis,10,0,17-10-2024,19-10-2024
Maharashtra,Thane,Hepatitis A,6,1,15-10-2024,19-10-2024
Maharashtra,Wardha,Acute Diarrheal Disease,12,0,17-10-2024,18-10-2024
Meghalaya,North Garo Hills,Acute Gastroenteritis,99,0,12-10-2024,14-10-2024
Odisha,Bargarh,Food Poisoning,23,0,20-10-2024,20-10-2024
Puducherry,Karaikal,Acute Diarrheal Disease,26,0,14-10-2024,18-10-2024
Punjab,Firozepur,Measles,11,1,17-10-2024,17-10-2024
Rajasthan,Sikar,Acute Gastroenteritis,40,0,17-10-2024,18-10-2024
Tamil Nadu,Namakkal,Mumps,5,0,18-10-2024,19-10-2024
Tamil Nadu,Tenkasi,Hepatitis A,12,0,15-10-2024,15-10-2024
Tamil Nadu,Virudhunagar,Typhoid,8,0,11-10-2024,14-10-2024
Uttar Pradesh,Ballia,Acute Diarrheal Disease,30,0,15-10-2024,17-10-2024
Uttar Pradesh,Barabanki,Food Poisoning,13,0,11-10-2024,15-10-2024
Uttarakhand,Nainital,Dengue,8,0,14-10-2024,18-10-2024
West Bengal,Purba Bardhaman,Acute Diarrhea Disease,19,0,17-10-2024,19-10-2024
West Bengal,Purulia,Acute Diarrheal Disease,280,0,18-10-2024,19-10-2024
Andhra Pradesh,NTR,Acute Diarrheal Disease,8,0,27-07-2024,
Kerala,Ernakulam,Hepatitis A,11,0,05-10-2024,
Kerala,Ernakulam,Hepatitis A,8,0,04-10-2024,
Madhya Pradesh,Damoh,Acute Diarrheal Disease,16,0,09-10-2024,
Madhya Pradesh,Satna,Diphtheria,5,0,30-08-2024,
Meghalaya,South West Khasi Hills,Shigellosis,5,0,25-09-2024,
Rajasthan,Bharatpur,Diphtheria,3,1,01-10-2024,
Rajasthan,Bharatpur,Diphtheria,5,2,01-10-2024,
Andhra Pradesh,Palnadu,Acute Diarrheal Disease,15,0,24-10-2024,25-10-2024
Assam,Jorhat,Shigellosis,12,0,23-10-2024,23-10-2024
Assam,Jorhat,Acute Diarrheal Disease,12,0,18-10-2024,21-10-2024
Chhattisgarh,Kanker,Mumps,10,0,19-10-2024,21-10-2024
Chhattisgarh,Mahasamund,Acute Diarrheal Disease,63,0,23-10-2024,25-10-2024
Gujarat,Bharuch,Jaundice,55,0,23-10-2024,24-10-2024
Gujarat,Narmada,Measles,12,0,25-10-2024,25-10-2024
Jammu and Kashmir,Kulgam,Hepatitis A,9,0,24-10-2024,25-10-2024
Jharkhand,Dumka,Acute Diarrheal Disease,11,0,20-10-2024,21-10-2024
Jharkhand,East Singhbum,Acute Diarrheal Disease,4,2,23-10-2024,24-10-2024
Jharkhand,Koderma,Acute Diarrheal Disease,26,0,21-10-2024,21-10-2024
Jharkhand,Simdega,Malaria,32,0,24-10-2024,24-10-2024
Jharkhand,Simdega,Mumps,23,0,21-10-2024,21-10-2024
Karnataka,Ballari,Measles,11,0,22-10-2024,22-10-2024
Karnataka,Dharwad,Acute Diarrheal Disease,94,0,24-10-2024,25-10-2024
Karnataka,Hassan,Acute Diarrheal Disease,27,0,23-10-2024,24-10-2024
Karnataka,Tumakuru,Acute Diarrheal Disease,22,0,23-10-2024,23-10-2024
Karnataka,Vijayanagar,Chikungunya,73,0,23-10-2024,26-10-2024
Karnataka,Vijayanagar,Leptospirosis,15,0,19-10-2024,24-10-2024
Kerala,Kottayam,Mumps,65,0,24-10-2024,24-10-2024
Kerala,Kozhikode,Hepatitis A,28,0,21-10-2024,22-10-2024
Kerala,Palakkad,Mumps,41,0,25-10-2024,25-10-2024
Kerala,Thiruvananthapuram,Mumps,77,0,20-10-2024,24-10-2024
Madhya Pradesh,East Nimar,Chikungunya,129,0,22-10-2024,22-10-2024
Madhya Pradesh,Guna,Acute Diarrheal Disease,36,0,24-10-2024,25-10-2024
Madhya Pradesh,Singrauli,Typhoid,28,0,22-10-2024,25-10-2024
Maharashtra,Ahmednagar,Acute Diarrheal Disease,129,0,20-10-2024,22-10-2024
Manipur,Noney,Food Poisoning,26,1,23-09-2024,23-10-2024
Odisha,Khordha,Hepatitis A,12,0,24-10-2024,25-10-2024
Odisha,Mayurbhanj,Acute Diarrheal Disease,11,0,24-10-2024,24-10-2024
Tamil Nadu,Kanchipuram,Acute Diarrheal Disease,13,0,19-10-2024,21-10-2024
Tamil Nadu,Virudhunagar,Mumps,25,0,21-10-2024,21-10-2024
Telangana,Suryapet,Acute Diarrheal Disease,48,0,20-10-2024,26-10-2024
Uttar Pradesh,Hapur,Dengue,8,0,19-10-2024,23-10-2024
Uttar Pradesh,Rae Bareli,Acute Diarrheal Disease,55,1,20-10-2024,23-10-2024
West Bengal,Purulia,Acute Diarrheal Disease,15,0,24-10-2024,24-10-2024
Andhra Pradesh,Parvathipuram Manyam,Acute Diarrheal Disease,57,0,05-10-2024,
Andhra Pradesh,Vizianagaram,Cholera,201,4,14-10-2024,
Madhya Pradesh,Dindori,Acute Diarrheal Disease,26,0,28-09-2024,
Madhya Pradesh,Satna,Scrub Typhus,17,1,01-10-2024,
Maharashtra,Nashik,Acute Diarrheal Disease,171,0,17-10-2024,
Maharashtra,Raigad,Hepatitis A,37,0,17-10-2024,
Manipur,Imphal West,Dengue,3007,0,20-09-2024,
Mizoram,Lawngtlai,Measles,10,0,23-08-2024,
Dadra And Nagar Haveli,Dadra And Nagar Haveli,Acute Diarrheal Disease,18,0,17-10-2024,
Uttar Pradesh,Prayagraj,Acute Diarrheal Disease,37,0,27-09-2024,
Assam,Goalpara,Dengue,29,0,29-10-2024,30-10-2024
Assam,Goalpara,Dengue,28,0,28-10-2024,29-10-2024
Assam,Nalbari,Measles,3,0,28-10-2024,29-10-2024
Bihar,Kishanganj,Acute Encephalitic Syndrome,4,4,02-11-2024,02-11-2024
Chhattisgarh,Raipur,Acute Diarrheal Disease,30,0,26-10-2024,28-10-2024
Haryana,Nuh,Diphtheria,3,0,28-10-2024,29-10-2024
Jammu and Kashmir,Srinagar,Hepatitis A,13,0,31-10-2024,02-11-2024
Jharkhand,Bokaro,Acute Diarrheal Disease,20,0,01-11-2024,03-11-2024
Jharkhand,East Singhbum,Acute Diarrheal Disease,9,0,31-10-2024,01-11-2024
Jharkhand,East Singhbum,Acute Diarrheal Disease,45,1,27-10-2024,28-10-2024
Karnataka,Kalaburagi,Cholera,85,0,30-10-2024,31-10-2024
Karnataka,Vijayanagar,Acute Diarrheal Disease,13,0,29-10-2024,30-10-2024
Kerala,Ernakulam,Mumps,7,0,29-10-2024,01-11-2024
Kerala,Ernakulam,Hepatitis A,6,0,28-10-2024,29-10-2024
Kerala,Ernakulam,Mumps,8,0,26-10-2024,29-10-2024
Kerala,Palakkad,Mumps,26,0,28-10-2024,28-10-2024
Kerala,Pathanamthitta,Acute Diarrheal Disease,30,0,01-11-2024,01-11-2024
Madhya Pradesh,Morena,Dengue,41,0,31-10-2024,02-11-2024
Madhya Pradesh,Ratlam,Cholera,28,2,27-10-2024,28-10-2024
Madhya Pradesh,Rewa,Dengue,109,0,28-10-2024,28-10-2024
Madhya Pradesh,Ujjain,Acute Diarrheal Disease,5,0,01-11-2024,01-11-2024
Maharashtra,Palghar,Dengue,22,1,29-10-2024,30-10-2024
Maharashtra,Thane,Acute Diarrheal Disease,97,0,28-10-2024,31-10-2024
Mizoram,Aizawl,Dengue,157,0,29-10-2024,29-10-2024
Odisha,Balangir,Acute Diarrheal Disease,12,0,30-10-2024,30-10-2024
Odisha,Bargarh,Acute Diarrheal Disease,19,0,31-10-2024,31-10-2024
Odisha,Deogarh,Acute Diarrheal Disease,6,2,02-11-2024,02-11-2024
Odisha,Mayurbhanj,Acute Diarrheal Disease,12,0,30-10-2024,30-10-2024
Odisha,Puri,Hepatitis A,12,0,01-11-2024,01-11-2024
Tamil Nadu,Erode,Mumps,6,0,30-10-2024,02-11-2024
Tamil Nadu,Villupuram,Mumps,8,0,01-11-2024,02-11-2024
Telangana,Kumuram Bheem Asifabad,Acute Diarrheal Disease,63,0,01-11-2024,02-11-2024
Uttar Pradesh,Farrukhabad,Fever with Rash,8,0,28-10-2024,30-10-2024
Uttar Pradesh,Gonda,Food Poisoning,72,0,28-10-2024,29-10-2024
West Bengal,24 Paraganas South,Acute Diarrheal Disease,20,0,29-10-2024,29-10-2024
West Bengal,Nadia,Acute Diarrheal Disease,5,0,30-10-2024,31-10-2024
West Bengal,Purulia,Acute Diarrheal Disease,40,0,01-11-2024,02-11-2024
Jharkhand,Giridih,Typhoid,9,0,30-09-2024,
Kerala,Alappuzha,Hepatitis A,12,0,19-10-2024,
Kerala,Ernakulam,Hepatitis A,8,0,03-10-2024,
Madhya Pradesh,Chhatarpur,Measles,26,1,11-10-2024,
Maharashtra,Nashik,Acute Diarrheal Disease,18,0,24-10-2024,
Odisha,Kendujhar,Food Poisoning,123,0,15-10-2024,
Rajasthan,Udaipur,Malaria,20,0,19-10-2024,
Andhra Pradesh,Vizianagaram,Cholera,31,0,29-10-2024,04-11-2024
Assam,Charaideo,Dengue,56,1,10-11-2024,10-11-2024
Assam,Dibrugarh,Shigellosis,50,0,06-11-2024,07-11-2024
Assam,Golaghat,Food Poisoning,19,0,10-11-2024,10-11-2024
Assam,Jorhat,Cholera,10,0,05-11-2024,05-11-2024
Assam,Jorhat,Cholera,10,0,30-10-2024,04-11-2024
Chhattisgarh,Bijapur,Japanese Encephalitis,5,0,06-11-2024,06-11-2024
Gujarat,Sabarkantha,Hepatitis A,19,0,07-11-2024,07-11-2024
Jharkhand,Dumka,Acute Diarrheal Disease,12,0,03-11-2024,04-11-2024
